batter,ACI,ACI_HUNT,ACI_2K,ACI_RISP,Pitches,ACI_20,ACI_40,ACI_80,player_name,batting_team
807799,0.26,0.204,0.301,0.246,631,0.224,0.241,0.277,masataka yoshida,BOS
666126,0.259,0.252,0.308,0.3,844,0.26,0.228,0.274,carlos cortes,ATH
641857,0.259,0.241,0.31,0.256,833,0.241,0.276,0.315,ryan mcmahon,NYY
682928,0.258,0.232,0.306,0.28,1220,0.31,0.315,0.279,cj abrams,WSH
663728,0.258,0.222,0.334,0.274,868,0.281,0.281,0.273,cal raleigh,SEA
592450,0.258,0.201,0.382,0.238,1172,0.301,0.295,0.307,aaron judge,NYY
678554,0.258,0.178,0.385,0.228,932,0.316,0.292,0.259,curtis mead,WSH
543807,0.257,0.215,0.375,0.324,971,0.216,0.233,0.291,george springer,TOR
695578,0.257,0.192,0.421,0.227,1580,0.386,0.318,0.296,james wood,WSH
641933,0.257,0.203,0.39,0.25,584,0.256,0.269,0.274,tyler o'neill,BAL
592626,0.257,0.194,0.38,0.266,931,0.192,0.227,0.28,joc pederson,TEX
686797,0.256,0.25,0.298,0.277,1127,0.311,0.292,0.309,brooks lee,MIN
694208,0.256,0.22,0.369,0.312,730,0.372,0.343,0.363,moisés ballesteros,CHC
694728,0.256,0.191,0.388,0.229,816,0.172,0.249,0.293,brice matthews,HOU
686555,0.256,0.199,0.371,0.275,954,0.324,0.25,0.272,isaac collins,KC
641355,0.256,0.209,0.358,0.289,1166,0.385,0.351,0.324,cody bellinger,NYY
592518,0.255,0.22,0.334,0.248,1190,0.369,0.304,0.294,manny machado,SD
677588,0.255,0.241,0.337,0.252,632,0.377,0.33,0.27,josé tena,WSH
808982,0.254,0.202,0.297,0.283,1008,0.312,0.322,0.321,jung hoo lee,SF
656941,0.253,0.212,0.36,0.259,1369,0.228,0.229,0.264,kyle schwarber,PHI
672761,0.253,0.182,0.339,0.327,691,0.22,0.267,0.249,wenceel pérez,DET
608324,0.253,0.189,0.352,0.268,1339,0.289,0.225,0.268,alex bregman,CHC
669477,0.253,0.235,0.296,0.224,1033,0.223,0.278,0.293,casey schmitt,SF
660688,0.252,0.272,0.197,0.203,551,0.421,0.427,0.317,keibert ruiz,WSH
677594,0.252,0.177,0.358,0.208,1286,0.29,0.251,0.253,julio rodríguez,SEA
691594,0.252,0.258,0.244,0.253,596,0.292,0.267,0.281,javier sanoja,MIA
621493,0.251,0.154,0.454,0.258,1456,0.305,0.265,0.292,taylor ward,BAL
